"Range","REF","PropertyName","PropertyDescription","PropertyDescriptionShort","PropertyFilter","PropertyFilterShort","Source","SectorCount","PublicCount","Type","Subtype","Year","YearDesc","File","Field","DataType","DataTypeAlt","RecordFilterBy","Filter","FilterValue","Filter2","Filter2Value","Filter3","Filter3Value","Filter4","Filter4Value","Filter5","Filter5Value","ShouldBeNormalised","NormalisedLookup","CompoundFields","ReturnMultipleRecords","IgnoreMapping"
"England","","RwmHigher_Grl_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_Grl_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_Grl_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_Dis_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_Dis_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_Dis_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_NDi_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_NDi_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_NDi_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_SENEHC_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_SENEHC_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_SENEHC_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_SENSup_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_SENSup_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_SENSup_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_NoSEN_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_NoSEN_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_NoSEN_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_EFL_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_EFL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_EFL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_EAL_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_EAL_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_EAL_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_NMo_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_NMo_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_NMo_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
"England","","RwmHigher_Mob_Cohort_Eng_Current_Num","EnglandPerformance RwmHigher_Mob_Cohort_Eng_Current_Num","","","","EES","","","KS2_Performance","Performance","2025-2026","Current","EnglandPerformance","RwmHigher_Mob_Cohort_Eng_Current_Num","double","number","Id","","","","","","","","","","","No","","","",""
